  
           K I N E M A
        ==================
  
  TARGET  (e.g. 59CO27) : 
                              2H1   
  PROJECTILE            : 
                              1H1   
  EJECTILE 1 (3)        : 
                              2H1   
  EJECTILE 2 (4)        : 
                              1H1   
  BEAM ENERGY [MeV]     : 
                                200.00000
  ANGLE MIN.            : 
                               15.00000
  ANGLE MAX.            : 
                               80.00000
  ANGLE STEP            : 
                                1.00000
  EXCIT. ENERGY [MeV]   : 
                                0.00000


 TH_LAB  TH_CM   EN_3     G_3     V_3  PS_LAB  PS_CM   EN_4     G_4     V_4 
  
  [deg]  [deg]   [MeV]    [1]   [ns/m]  [deg]  [deg]   [MeV]    [1]    [ns/m]
  

  15.00  30.68  167.17    4.023    8.42 123.23 149.32   32.83    0.410   12.94
  16.00  32.72  165.48    4.000    8.46 120.24 147.28   34.52    0.434   12.64
  17.00  34.76  163.71    3.976    8.50 117.35 145.24   36.29    0.460   12.34
  18.00  36.80  161.84    3.950    8.54 114.55 143.20   38.16    0.487   12.05
  19.00  38.83  159.88    3.923    8.59 111.84 141.17   40.12    0.515   11.77
  20.00  40.87  157.83    3.895    8.64 109.21 139.13   42.17    0.545   11.50
  21.00  42.90  155.70    3.865    8.69 106.66 137.10   44.30    0.575   11.24
  22.00  44.94  153.49    3.835    8.74 104.18 135.06   46.51    0.607   10.99
  23.00  46.97  151.19    3.803    8.80 101.77 133.03   48.81    0.640   10.74
  24.00  49.00  148.83    3.769    8.86  99.43 131.00   51.17    0.673   10.51
  25.00  51.03  146.39    3.735    8.93  97.15 128.97   53.61    0.707   10.29
  26.00  53.06  143.88    3.699    9.00  94.93 126.94   56.12    0.742   10.07
  27.00  55.09  141.30    3.662    9.07  92.77 124.91   58.70    0.778    9.87
  28.00  57.12  138.66    3.624    9.15  90.65 122.88   61.34    0.815    9.67
  29.00  59.14  135.96    3.585    9.23  88.59 120.86   64.04    0.852    9.49
  30.00  61.17  133.21    3.545    9.32  86.57 118.83   66.79    0.889    9.31
  31.00  63.19  130.41    3.503    9.41  84.59 116.81   69.59    0.927    9.14
  32.00  65.21  127.55    3.461    9.50  82.66 114.79   72.45    0.965    8.97
  33.00  67.23  124.65    3.418    9.60  80.76 112.77   75.35    1.004    8.82
  34.00  69.25  121.71    3.373    9.70  78.90 110.75   78.29    1.042    8.67
  35.00  71.26  118.74    3.328    9.81  77.07 108.74   81.26    1.081    8.53
  36.00  73.28  115.73    3.282    9.93  75.28 106.72   84.27    1.121    8.39
