  
           K I N E M A
        ==================
  
  TARGET  (e.g. 59CO27) : 
                              1H1   
  PROJECTILE            : 
                              1H1   
  EJECTILE 1 (3)        : 
                              1H1   
  EJECTILE 2 (4)        : 
                              1H1   
  BEAM ENERGY [MeV]     : 
                                200.00000
  ANGLE MIN.            : 
                               12.00000
  ANGLE MAX.            : 
                               67.00000
  ANGLE STEP            : 
                                1.00000
  EXCIT. ENERGY [MeV]   : 
                                0.00000


 TH_LAB  TH_CM   EN_3     G_3     V_3  PS_LAB  PS_CM   EN_4     G_4     V_4 
  
  [deg]  [deg]   [MeV]    [1]   [ns/m]  [deg]  [deg]   [MeV]    [1]    [ns/m]
  

  12.00  25.21  190.48    4.290    6.00  76.76 154.79    9.52    0.836   23.60
  13.00  27.30  188.86    4.267    6.02  75.67 152.70   11.14    0.905   21.85
  14.00  29.39  187.13    4.242    6.04  74.58 150.61   12.87    0.975   20.35
  15.00  31.48  185.28    4.215    6.06  73.49 148.52   14.72    1.044   19.06
  16.00  33.57  183.32    4.187    6.09  72.40 146.43   16.68    1.113   17.93
  17.00  35.66  181.25    4.157    6.12  71.31 144.34   18.75    1.182   16.94
  18.00  37.74  179.08    4.125    6.14  70.22 142.26   20.92    1.250   16.06
  19.00  39.82  176.80    4.092    6.17  69.14 140.18   23.20    1.319   15.28
  20.00  41.90  174.43    4.057    6.21  68.06 138.10   25.57    1.388   14.58
  21.00  43.98  171.96    4.021    6.24  66.99 136.02   28.04    1.456   13.95
  22.00  46.05  169.40    3.984    6.28  65.91 133.95   30.60    1.524   13.38
  23.00  48.12  166.75    3.945    6.32  64.84 131.88   33.25    1.592   12.86
  24.00  50.19  164.02    3.905    6.36  63.77 129.81   35.98    1.659   12.39
  25.00  52.26  161.21    3.863    6.40  62.71 127.74   38.79    1.727   11.96
  26.00  54.32  158.33    3.820    6.45  61.64 125.68   41.67    1.794   11.56
  27.00  56.38  155.37    3.776    6.49  60.59 123.62   44.63    1.861   11.20
  28.00  58.44  152.34    3.731    6.54  59.53 121.56   47.66    1.927   10.86
  29.00  60.49  149.26    3.684    6.60  58.48 119.51   50.74    1.994   10.55
  30.00  62.54  146.11    3.637    6.66  57.43 117.46   53.89    2.059   10.26
  31.00  64.59  142.91    3.588    6.71  56.38 115.41   57.09    2.125   10.00
  32.00  66.63  139.66    3.539    6.78  55.34 113.37   60.34    2.190    9.75
  33.00  68.68  136.36    3.488    6.84  54.30 111.32   63.64    2.255    9.51
  34.00  70.71  133.03    3.437    6.91  53.26 109.29   66.97    2.319    9.30
  35.00  72.75  129.66    3.384    6.99  52.23 107.25   70.34    2.383    9.09
  36.00  74.78  126.26    3.331    7.06  51.20 105.22   73.74    2.446    8.90
  37.00  76.81  122.83    3.277    7.14  50.18 103.19   77.17    2.509    8.73
  38.00  78.83  119.37    3.222    7.23  49.16 101.17   80.63    2.572    8.56
  39.00  80.85  115.90    3.167    7.32  48.14  99.15   84.10    2.633    8.40
  40.00  82.87  112.42    3.111    7.41  47.12  97.13   87.58    2.694    8.25
  41.00  84.88  108.92    3.054    7.51  46.11  95.12   91.08    2.755    8.11
  42.00  86.89  105.42    2.997    7.62  45.11  93.11   94.58    2.815    7.98
  43.00  88.90  101.93    2.939    7.73  44.10  91.10   98.07    2.874    7.86
  44.00  90.90   98.43    2.880    7.84  43.10  89.10  101.57    2.933    7.74
  45.00  92.90   94.94    2.821    7.97  42.11  87.10  105.06    2.991    7.63
  46.00  94.89   91.47    2.762    8.10  41.11  85.11  108.53    3.048    7.52
  47.00  96.89   88.01    2.702    8.23  40.12  83.11  111.99    3.104    7.43
  48.00  98.88   84.57    2.642    8.38  39.14  81.12  115.43    3.159    7.33
  49.00 100.86   81.16    2.581    8.53  38.15  79.14  118.84    3.214    7.24
  50.00 102.84   77.77    2.520    8.70  37.17  77.16  122.23    3.268    7.16
  51.00 104.82   74.42    2.459    8.87  36.20  75.18  125.58    3.320    7.08
  52.00 106.80   71.10    2.397    9.05  35.22  73.20  128.90    3.372    7.00
  53.00 108.77   67.83    2.336    9.24  34.26  71.23  132.17    3.423    6.93
  54.00 110.74   64.59    2.274    9.45  33.29  69.26  135.41    3.473    6.86
  55.00 112.70   61.41    2.211    9.67  32.33  67.30  138.59    3.522    6.80
  56.00 114.66   58.27    2.149    9.90  31.37  65.34  141.73    3.570    6.74
  57.00 116.62   55.19    2.086   10.15  30.41  63.38  144.81    3.617    6.68
  58.00 118.58   52.17    2.024   10.42  29.45  61.42  147.83    3.663    6.62
  59.00 120.53   49.20    1.961   10.70  28.50  59.47  150.80    3.708    6.57
  60.00 122.48   46.30    1.898   11.01  27.55  57.52  153.70    3.751    6.52
  61.00 124.43   43.47    1.835   11.34  26.61  55.57  156.53    3.793    6.47
  62.00 126.37   40.70    1.771   11.69  25.67  53.63  159.30    3.835    6.43
  63.00 128.31   38.01    1.708   12.08  24.72  51.69  161.99    3.875    6.39
  64.00 130.25   35.39    1.645   12.49  23.79  49.75  164.61    3.913    6.35
  65.00 132.19   32.85    1.582   12.94  22.85  47.81  167.15    3.951    6.31
  66.00 134.12   30.39    1.518   13.43  21.92  45.88  169.61    3.987    6.27
  67.00 136.05   28.01    1.455   13.96  20.99  43.95  171.99    4.022    6.24
